rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2MZQAvsA7aZDssppBLRxYp	Israel & Rodolffo	Batom de Cereja - Ao Vivo	Som Livre	1	1	13	7681062	2MZQAvsA7aZDssppBLRxYp
2	spotify:track:4wQUopWk9Ed7Ng5qpKN5qd	Dj Guuga, DJ Ivis	Volta Bebê, Volta Neném	GR6 Music	2	2	4	7557797	4wQUopWk9Ed7Ng5qpKN5qd
3	spotify:track:2Gjt4rUHBUH0rMKpBg0hF4	Malu, DJ Lucas Beat	Disco Arranhado - Funk Remix	Essaéhit	2	3	9	6094954	2Gjt4rUHBUH0rMKpBg0hF4
4	spotify:track:2QLbRVzixE282JSQjBz2DG	Alok, Mc Don Juan, Dj GBR	Liberdade (Quando o Grave Bate Forte)	GR6 Music	3	4	5	5923369	2QLbRVzixE282JSQjBz2DG
5	spotify:track:58pgi1RpcU2fVJsxhm7BIr	Raí Saia Rodada	Tapão Na Raba	Som Livre	1	5	14	5153159	58pgi1RpcU2fVJsxhm7BIr
6	spotify:track:1ere9b9vDw2N3m9d4uiXxa	Diego & Victor Hugo, Bruno & Marrone	Facas - Ao Vivo	Sony Music Entertainment	3	6	29	4802869	1ere9b9vDw2N3m9d4uiXxa
7	spotify:track:2SUPbyD77tJuOUbqbxct6l	Os Barões Da Pisadinha, Jorge	Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo	Sony Music Entertainment	7	7	11	4762870	2SUPbyD77tJuOUbqbxct6l
8	spotify:track:17UfXrL7Run3GyZJW4uRjC	Jorge & Mateus	Paradigmas	Som Livre	7	10	15	4664326	17UfXrL7Run3GyZJW4uRjC
9	spotify:track:7EWXP47VlXKO3r7mNxuWHw	Wesley Safadão, Os Barões Da Pisadinha	Ele É Ele, Eu Sou Eu	Som Livre	1	8	25	4612520	7EWXP47VlXKO3r7mNxuWHw
10	spotify:track:7IG7laqVpcvIIULrwWP5SA	Mc Poze do Rodo, Neo Beats, Mainstreet	Vida Louca	Mainstreet Records	9	9	5	4539396	7IG7laqVpcvIIULrwWP5SA
11	spotify:track:3HquWF2pZmWYu3WAEP9Heb	Fernando & Sorocaba, Tarcísio do Acordeon	Só Não Divulga	Sony Music Entertainment	11	14	10	4412083	3HquWF2pZmWYu3WAEP9Heb
12	spotify:track:0qxLQ6opocOGyFnlXqJ53x	Mc Davi, Mc Pedrinho, Mc Don Juan	Bipolar	GR6 Music	12	101	2	4382946	0qxLQ6opocOGyFnlXqJ53x
13	spotify:track:1HoapWs5KcMzs8QYdgg9Kt	Xand Avião, DJ Ivis, Mc Danny	Não Pode Se Apaixonar	Som Livre	11	11	10	4044086	1HoapWs5KcMzs8QYdgg9Kt
14	spotify:track:2plRom0urixt6BE8t7kOhQ	Anitta	Girl From Rio	Warner Records	14	-1	1	3968831	2plRom0urixt6BE8t7kOhQ
15	spotify:track:3lJ8BcGM1ROQ1ufneU3Qya	Th CDM	Preta do Cabelo Cacheado	PHproduções	15	18	7	3897426	3lJ8BcGM1ROQ1ufneU3Qya
16	spotify:track:4llr8mcoauwrHBtjGb7F9S	MC Kevin o Chris	Tipo Gin - Ao Vivo	MC Kevin o Chris	16	55	2	3774195	4llr8mcoauwrHBtjGb7F9S
